x,y,z
[0.73639859 2.31863286],[0.59650476 1.57721485],[0.89586912 2.48396501]
[0.73639859 2.31863286],[0.59650476 1.57721485],[0.89586912 2.48396501]
[0.73670198 2.31949033],[0.59717766 1.57763381],[0.89614052 2.48415588]
[0.73700464 2.32034852],[0.59785012 1.57805322],[0.89641119 2.48434746]
[0.7373066  2.32120742],[0.59852214 1.57847307],[0.89668115 2.48453977]
[0.73760783 2.32206705],[0.59919372 1.57889337],[0.89695039 2.4847328 ]
[0.73790835 2.32292738],[0.59986485 1.5793141 ],[0.89721891 2.48492654]
[0.73820816 2.32378844],[0.60053555 1.57973528],[0.89748672 2.485121  ]
[0.73850725 2.32465021],[0.60120579 1.58015691],[0.89775381 2.48531618]
[0.73880562 2.3255127 ],[0.6018756  1.58057897],[0.89802018 2.48551208]
[0.73910328 2.32637591],[0.60254497 1.58100148],[0.89828584 2.48570869]
[0.73940023 2.32723983],[0.6032139  1.58142442],[0.89855078 2.48590602]
[0.73969646 2.32810446],[0.60388238 1.58184781],[0.89881501 2.48610406]
[0.73999197 2.32896981],[0.60455043 1.58227164],[0.89907853 2.48630282]
[0.74028677 2.32983588],[0.60521804 1.58269591],[0.89934133 2.48650229]
[0.74058086 2.33070266],[0.60588521 1.58312062],[0.89960342 2.48670248]
[0.74087424 2.33157016],[0.60655194 1.58354576],[0.89986479 2.48690338]
[0.7411669  2.33243837],[0.60721823 1.58397135],[0.90012546 2.487105  ]
[0.74145885 2.3333073 ],[0.60788408 1.58439737],[0.90038541 2.48730732]
[0.74175008 2.33417693],[0.6085495  1.58482383],[0.90064466 2.48751036]
[0.7420406  2.33504729],[0.60921448 1.58525073],[0.90090319 2.48771411]
[0.74233041 2.33591836],[0.60987902 1.58567806],[0.90116101 2.48791857]
[0.74261951 2.33679014],[0.61054313 1.58610584],[0.90141813 2.48812374]
[0.7429079  2.33766263],[0.6112068  1.58653404],[0.90167453 2.48832962]
[0.74319557 2.33853584],[0.61187004 1.58696269],[0.90193023 2.48853621]
[0.74348253 2.33940975],[0.61253284 1.58739177],[0.90218522 2.48874351]
[0.74376878 2.34028439],[0.61319521 1.58782128],[0.9024395  2.48895151]
[0.74405432 2.34115973],[0.61385714 1.58825123],[0.90269308 2.48916023]
[0.74433915 2.34203578],[0.61451864 1.58868161],[0.90294595 2.48936965]
[0.74462327 2.34291255],[0.6151797  1.58911243],[0.90319811 2.48957978]
[0.74490668 2.34379003],[0.61584034 1.58954368],[0.90344957 2.48979061]
[0.74518938 2.34466822],[0.61650054 1.58997536],[0.90370033 2.49000215]
[0.74547137 2.34554712],[0.61716031 1.59040748],[0.90395038 2.49021439]
[0.74575265 2.34642673],[0.61781965 1.59084002],[0.90419973 2.49042734]
[0.74603322 2.34730705],[0.61847855 1.591273  ],[0.90444838 2.49064099]
[0.74631308 2.34818808],[0.61913703 1.59170641],[0.90469632 2.49085535]
[0.74659223 2.34906982],[0.61979507 1.59214025],[0.90494356 2.4910704 ]
[0.74687068 2.34995227],[0.62045269 1.59257452],[0.9051901  2.49128616]
[0.74714842 2.35083542],[0.62110988 1.59300922],[0.90543595 2.49150262]
[0.74742545 2.35171929],[0.62176664 1.59344435],[0.90568109 2.49171979]
[0.74770177 2.35260386],[0.62242297 1.59387991],[0.90592553 2.49193765]
[0.74797739 2.35348915],[0.62307887 1.59431589],[0.90616927 2.49215621]
[0.7482523  2.35437514],[0.62373434 1.59475231],[0.90641232 2.49237547]
[0.7485265  2.35526183],[0.62438939 1.59518915],[0.90665467 2.49259543]
[0.7488     2.35614924],[0.62504401 1.59562641],[0.90689632 2.49281609]
[0.74907279 2.35703735],[0.62569821 1.59606411],[0.90713727 2.49303744]
[0.74934488 2.35792617],[0.62635197 1.59650223],[0.90737753 2.49325949]
[0.74961626 2.35881569],[0.62700532 1.59694078],[0.9076171  2.49348224]
[0.74988693 2.35970592],[0.62765824 1.59737975],[0.90785597 2.49370568]
[0.75015691 2.36059685],[0.62831073 1.59781914],[0.90809415 2.49392982]
[0.75042618 2.36148849],[0.62896281 1.59825896],[0.90833163 2.49415465]
[0.75069474 2.36238084],[0.62961445 1.59869921],[0.90856842 2.49438017]
[0.7509626  2.36327388],[0.63026568 1.59913987],[0.90880452 2.49460639]
[0.75122976 2.36416763],[0.63091648 1.59958096],[0.90903993 2.4948333 ]
[0.75149622 2.36506209],[0.63156686 1.60002247],[0.90927465 2.4950609 ]
[0.75176198 2.36595725],[0.63221682 1.60046441],[0.90950867 2.4952892 ]
[0.75202703 2.36685311],[0.63286636 1.60090676],[0.90974201 2.49551818]
[0.75229138 2.36774967],[0.63351548 1.60134954],[0.90997466 2.49574785]
[0.75255503 2.36864694],[0.63416418 1.60179273],[0.91020662 2.49597821]
[0.75281798 2.3695449 ],[0.63481246 1.60223635],[0.9104379  2.49620926]
[0.75308023 2.37044357],[0.63546032 1.60268039],[0.91066849 2.496441  ]
[0.75334179 2.37134294],[0.63610776 1.60312484],[0.91089839 2.49667342]
[0.75360264 2.37224301],[0.63675479 1.60356971],[0.9111276  2.49690654]
[0.75386279 2.37314378],[0.63740139 1.604015  ],[0.91135613 2.49714033]
[0.75412224 2.37404525],[0.63804758 1.60446071],[0.91158398 2.49737481]
[0.754381   2.37494741],[0.63869336 1.60490683],[0.91181114 2.49760998]
[0.75463906 2.37585028],[0.63933871 1.60535338],[0.91203763 2.49784583]
[0.75489642 2.37675385],[0.63998366 1.60580033],[0.91226342 2.49808237]
[0.75515308 2.37765811],[0.64062818 1.6062477 ],[0.91248854 2.49831958]
[0.75540905 2.37856307],[0.64127229 1.60669549],[0.91271298 2.49855748]
[0.75566432 2.37946873],[0.64191599 1.60714369],[0.91293674 2.49879606]
[0.7559189  2.38037508],[0.64255928 1.60759231],[0.91315981 2.49903532]
[0.75617278 2.38128213],[0.64320215 1.60804134],[0.91338221 2.49927525]
[0.75642596 2.38218987],[0.64384461 1.60849078],[0.91360393 2.49951587]
[0.75667846 2.38309832],[0.64448665 1.60894063],[0.91382498 2.49975717]
[0.75693025 2.38400745],[0.64512829 1.6093909 ],[0.91404534 2.49999914]
[0.75718136 2.38491728],[0.64576952 1.60984157],[0.91426503 2.50024179]
[0.75743177 2.38582781],[0.64641033 1.61029266],[0.91448405 2.50048512]
[0.75768149 2.38673902],[0.64705073 1.61074416],[0.91470239 2.50072912]
[0.75793051 2.38765093],[0.64769073 1.61119607],[0.91492006 2.50097379]
[0.75817885 2.38856354],[0.64833032 1.61164839],[0.91513705 2.50121915]
[0.75842649 2.38947683],[0.64896949 1.61210111],[0.91535337 2.50146517]
[0.75867345 2.39039082],[0.64960826 1.61255425],[0.91556903 2.50171187]
[0.75891971 2.3913055 ],[0.65024663 1.61300779],[0.915784   2.50195923]
[0.75916528 2.39222087],[0.65088458 1.61346174],[0.91599831 2.50220727]
[0.75941017 2.39313692],[0.65152213 1.61391609],[0.91621195 2.50245598]
[0.75965436 2.39405367],[0.65215928 1.61437085],[0.91642492 2.50270536]
[0.75989787 2.39497111],[0.65279601 1.61482602],[0.91663723 2.50295541]
[0.76014069 2.39588924],[0.65343235 1.61528159],[0.91684886 2.50320613]
[0.76038282 2.39680805],[0.65406828 1.61573757],[0.91705983 2.50345751]
[0.76062427 2.39772755],[0.6547038  1.61619395],[0.91727014 2.50370956]
[0.76086503 2.39864774],[0.65533893 1.61665073],[0.91747978 2.50396228]
[0.7611051  2.39956862],[0.65597365 1.61710792],[0.91768875 2.50421566]
[0.76134449 2.40049018],[0.65660797 1.61756551],[0.91789706 2.50446971]
[0.76158319 2.40141243],[0.65724188 1.6180235 ],[0.91810471 2.50472442]
[0.76182121 2.40233537],[0.6578754  1.61848189],[0.91831169 2.50497979]
[0.76205855 2.40325898],[0.65850852 1.61894068],[0.91851802 2.50523583]
[0.7622952  2.40418329],[0.65914123 1.61939988],[0.91872368 2.50549252]
[0.76253117 2.40510827],[0.65977355 1.61985947],[0.91892869 2.50574988]
[0.76276645 2.40603394],[0.66040547 1.62031946],[0.91913303 2.5060079 ]
[0.76300106 2.40696029],[0.66103699 1.62077985],[0.91933672 2.50626657]
[0.76323498 2.40788733],[0.66166811 1.62124064],[0.91953975 2.50652591]
[0.76346823 2.40881504],[0.66229883 1.62170183],[0.91974212 2.5067859 ]
[0.76370079 2.40974344],[0.66292916 1.62216341],[0.91994383 2.50704655]
[0.76393267 2.41067252],[0.6635591  1.62262539],[0.9201449  2.50730786]
[0.76416388 2.41160227],[0.66418863 1.62308776],[0.9203453  2.50756982]
[0.7643944  2.41253271],[0.66481777 1.62355053],[0.92054506 2.50783243]
[0.76462425 2.41346383],[0.66544652 1.6240137 ],[0.92074416 2.5080957 ]
[0.76485342 2.41439562],[0.66607488 1.62447726],[0.9209426  2.50835963]
[0.76508192 2.41532809],[0.66670284 1.62494121],[0.9211404 2.5086242]
[0.76530974 2.41626124],[0.66733041 1.62540555],[0.92133755 2.50888943]
[0.76553688 2.41719506],[0.66795758 1.62587029],[0.92153404 2.5091553 ]
