x,y,z
[0.72640773 1.17013264 2.68506544],[0.91204543 1.12021739 2.65317538],[0.64059922 2.16012457 0.90443631]
[0.72640773 1.17013264 2.68506544],[0.91204543 1.12021739 2.65317538],[0.64059922 2.16012457 0.90443631]
[0.72640773 1.17013264 2.68506544],[0.91204543 1.12021739 2.65317538],[0.64059922 2.16012457 0.90443631]
[0.72681689 1.17032828 2.68511804],[0.91275482 1.12037946 2.65399017],[0.64146643 2.16012854 0.9054123 ]
[0.72722863 1.17052177 2.68517018],[0.9134655  1.12054065 2.65480453],[0.64234181 2.16012416 0.90638846]
[0.72764296 1.17071312 2.68522189],[0.91417747 1.12070098 2.65561846],[0.64322541 2.1601114  0.90736479]
[0.7280599  1.17090232 2.68527315],[0.91489075 1.12086043 2.65643197],[0.64411724 2.16009023 0.9083413 ]
[0.72847944 1.17108934 2.68532396],[0.91560532 1.12101901 2.65724505],[0.64501735 2.16006061 0.90931798]
[0.72890161 1.17127419 2.68537433],[0.9163212  1.1211767  2.65805771],[0.64592577 2.1600225  0.91029483]
[0.72932641 1.17145685 2.68542425],[0.91703838 1.12133352 2.65886994],[0.64684254 2.15997588 0.91127186]
[0.72975386 1.17163731 2.68547373],[0.91775688 1.12148946 2.65968174],[0.64776769 2.15992069 0.91224906]
[0.73018396 1.17181556 2.68552277],[0.91847668 1.12164451 2.66049312],[0.64870127 2.15985692 0.91322643]
[0.73061673 1.17199159 2.68557135],[0.9191978  1.12179868 2.66130407],[0.6496433  2.15978451 0.91420397]
[0.73105218 1.17216539 2.68561949],[0.91992024 1.12195196 2.66211459],[0.65059384 2.15970343 0.91518169]
[0.73149032 1.17233694 2.68566719],[0.92064399 1.12210434 2.66292468],[0.65155291 2.15961364 0.91615957]
[0.73193116 1.17250623 2.68571444],[0.92136908 1.12225583 2.66373434],[0.65252056 2.15951509 0.91713763]
[0.73237472 1.17267326 2.68576124],[0.92209549 1.12240642 2.66454357],[0.65349684 2.15940776 0.91811586]
[0.73282101 1.172838   2.68580759],[0.92282322 1.12255611 2.66535238],[0.65448177 2.15929158 0.91909427]
[0.73327004 1.17300045 2.6858535 ],[0.9235523  1.1227049  2.66616075],[0.65547542 2.15916653 0.92007284]
[0.73372183 1.17316059 2.68589896],[0.92428271 1.12285278 2.66696869],[0.65647782 2.15903255 0.92105159]
[0.73417639 1.1733184  2.68594397],[0.92501446 1.12299975 2.66777621],[0.65748902 2.1588896  0.92203051]
[0.73463373 1.17347389 2.68598854],[0.92574756 1.1231458  2.66858329],[0.65850906 2.15873763 0.9230096 ]
[0.73509386 1.17362702 2.68603265],[0.926482   1.12329094 2.66938994],[0.659538   2.1585766  0.92398887]
[0.73555681 1.17377779 2.68607632],[0.9272178  1.12343516 2.67019615],[0.66057587 2.15840646 0.9249683 ]
[0.73602258 1.17392619 2.68611954],[0.92795496 1.12357846 2.67100194],[0.66162274 2.15822715 0.92594791]
